FIELD,TOPIC,LANGUAGE,CATEGORY,BIBTEXKEY,AUTHOR,EDITOR,TITLE,YEAR,TITLE_TRANSLATION,PUBLISHER,ADDRESS,PAGES,BOOKTITLE,BOOKTITLE_TRANSLATION,JOURNAL,VOLUME,NUMBER,SCHOOL,NOTE,URL,DOI,ABSTRACT
"linguistics, generative syntax",argument structure,,book,halekeyser2002,"Hale, Ken and Keyser, Samuel Jay",,Prolegomenon to a theory of argument structure,2002,,The MIT Press,Cambridge (Massachusetts)/London,296 pp.,,,,,,,,,,"This work is the culmination of an eighteen-year collaboration between Ken Hale and Samuel Jay Keyser on the study of the syntax of lexical items. It examines the hypothesis that the behavior of lexical items may be explained in terms of a very small number of very simple principles. In particular, a lexical item is assumed to project a syntactic configuration defined over just two relations, complement and specifier, where these configurations are constrained to preclude iteration and to permit only binary branching. The work examines this hypothesis by methodically looking at a variety of constructions in English and other languages."
philosophy,causation,,incollection,kistler2002,"Kistler, Max","Esposito, Costantino and Porro, Pasquale",Causation in contemporary analytical philosophy,2002,,Brepols,,635-668,La Causalità-La Causalité-Die Kausalität-Causality,,,,,,,,,"Contemporary analytic philosophy is in the midst of a vigorous debate on the nature of causation. Each of the main proposals discussed in this chapter faces important problems: the deductive-nomological model, the counterfactual theory, the manipulability theory, the probabilistic theory and the transference theory. After having explored possible solutions to these problems, I conclude that one version of the transference approach is most promising. However, as I show in the last section, it is necessary to supplement this transference approach with the notion of lawful dependency. This gives rise to the notion of causal responsibility."
"linguistics, linguistic typology",transitivity,,book,kittila2002,"Kittilä, Seppo",,Transitivity: towards a comprehensive typology,2002,,University of Turku,Turku,311 pp.,,,,,,,,,,
"linguistics, semantics, syntax",argument structure,,article,reinhart2002,"Reinhart, Tanya",,The Theta System – an overview,2002,,,,229-290,,,Theoretical Linguistics,28,3,,,,,"This paper presents an overview of a larger project in progress on the concepts interface. In part, it is based on the findings in Reinhart (2000), where several of the problems are discussed in greater details. However, many aspects of the system have been further developed, or changed, since that manuscript."
"linguistics, linguistic typology",causation,,book,shibatani2002,,"Shibatani, Masayoshi",The Grammar of Causation and Interpersonal Manipulation,2002,,John Benjamins Publishing Company,Amsterdam/Philadelphia,551 pp.,,,,,,,,,,"This volume presents fifteen original papers dealing with various aspects of causative constructions ranging from morphology to semantics with emphasis on language data from Central and South America. Informed by a better understanding of how different constructions are positioned both synchronically (e.g., on a semantic map) and diachronically (e.g., through grammaticalization processes), the volume affords a comprehensive up-to-date perspective on the perennial issues in the grammar of causation such as the distribution of competing causative morphemes, the meaning distinctions among them, and the overall form-meaning correlation. Morphosyntactic interactions of causatives with other phenomena such as incorporation and applicativization receive focused attention as such basic issues as the semantic distinction between direct and indirect causation and the typology of causative constructions."
linguistics,reflexive,,book,lyutikova2002,"Лютикова, Екатерина А.",,Когнитивная типология: рефлексивы и интенсификаторы,2002,,ИМЛИ РАН,Москва,253 с. ,,,,,,,,,,
"linguistics, diachrony",lability,Vedic,article,kulikov2003,"Kulikov, Leonid",,The labile syntactic type in a diachronic perspective: the case of Vedic,2003,,,,93-112,,,SKY Journal of Linguistics,16,,,,https://scholarlypublications.universiteitleiden.nl/handle/1887/14858,,"Ancient Indo-European verbal syntax, as attested in early Vedic Sanskrit, exhibits numerous examples of the labile syntactic pattern: several verbal forms can show valence alternation with no formal change in the verb; cf. pres. svadate 'he makes sweet' / 'he is sweet'; perf. vavrdhuH ~ 'they have grown' (intr.) / 'they have increased' (tr.). It is argued that the labile patterning of the Vedic verb, however common it may appear, is mostly of a secondary character. There are a limited number of reasons which give rise to labile syntax: (i) the polyfunctionality of the middle inflection (which can be used to mark the anticausative, passive and reflexive functions, on the one hand, and the self-beneficent meaning of the transitive forms, on the other); (ii) the homonymy of some middle participles ""shared"" by passive (medio-passive aorist, stative) and nonpassive formations; (iii) the syntactic reanalysis of intransitive constructions with the accusative of parameter/scope (content accusative) as transitive-causative. As to the perfect, it could probably be employed both intransitively and transitively already in Proto-Indo-European, although the intransitive usages were prevalent. In the historical period the newly-built perfect middle forms have largely taken over the intransitive function, but active perfects are still quite common in the (more archaic) intransitive usages in early Vedic."
"linguistics, psycholinguistics","causation, (in)direct causatives",,article,wolff2003,"Wolff, Phillip",,Direct causation in the linguistic coding and individuation of causal events,2003,,,,1-48,,,Cognition,88,1,,,,,"This research proposes a new theory of direct causation and examines how this concept plays a key role in the linguistic coding and individuation of causal events. According to the no-intervening-cause hypothesis, a causal chain can be described by a single-clause sentence and construed as a single event if there are no intervening causers between the initial causer and the final causee. Consistent with this hypothesis, participants used single-clause sentences (lexical causatives) more often than two-clause sentences (e.g. periphrastic causatives) for causal chains in which (1) the causer and causee touched (Experiments 1 and 2), and (2) an intervening entity could be construed as an enabling condition rather than another cause (Experiments 2-4). In addition, event judgments paralleled linguistic descriptions: chains that could be described with single-clause expressions were more often construed as single events than chains that could not (Experiments 1-3). Implications for languages other than English, for the linguistic coding of accidental outcomes and for the relationship between cognition and language in general are discussed."
"linguistics, semantics, syntax",causative/inchoative,,incollection,alexiadouanagnostopoulou2004,"Alexiadou, Artemis and Anagnostopoulou, Elena","Alexiadou, Artemis and Anagnostopoulou, Elena and Everaert, Martin ",Voice morphology in the Causative-Inchoative alternation: Evidence for a non-unified structural analysis of unaccusatives,2004,,Oxford University Press,Oxford,114-136,The Unaccusativity Puzzle: Explorations of the Syntax-Lexicon Interface,,,,,,,,,
"linguistics, semantics, syntax",unaccusative,,book,alexiadouetal2004,,"Alexiadou, Artemis and Anagnostopoulou, Elena and Everaert, Martin ",The Unaccusativity Puzzle: Explorations of the Syntax-Lexicon Interface,2004,,Oxford University Press,Oxford,372 pp.,,,,,,,,,,"The phenomenon of unaccusativity is a central focus for the study of the complex properties of verb classes. The Unaccusative Hypothesis, first formulated in 1978, claimed that there are two classes of intransitive verbs: the unaccusative (Jill arrived) and the unergative or agentive (Jill sings). The hypothesis has provided a rich context for debating whether syntactic behaviour is semantically or lexically determined, the consequence of syntactic context, or a combination of these factors. No consensus has been reached. This book combines new approaches to the subject and contains several chapters reproducing papers that have achieved a significant status even though formally unpublished. Among the issues the chapters address are: the determination of the unaccusative class of verbs, the problem of unaccusativity diagnostics, the implications of special morphology for the structural representation of unaccusatives and the status of the external thematic role, the properties guiding the unergative versus unaccusative distinction in acquisition, and the properties of second-language lexicon."
linguistics,lability,Greek,article,lavidas2004,"Lavidas, Nikolaos",,Causative alternations: synchronic and diachronic tendencies,2004,,,,369-381,,,Studies in Greek Language,24,,,,https://www.researchgate.net/publication/338902837_Causative_alternations_synchronic_and_diachronic_tendencies,,
"linguistics, linguistic typology",valence orientation,,article,nicholsetal2004,"Nichols, Johanna and Peterson, David A. and Barnes, Jonathan",,Transitivizing and detransitivizing languages,2004,,,,149–212,,,Linguistic Typology,8,,,,,,"Semantically basic and almost universally intertranslatable verbs such as 'sit', 'fear', 'laugh', 'break', and 'fall' are not always formally underived, and languages differ systematically in the formal treatment they give to these verbs vis-à-vis their transitive counterparts (respectively 'seat', 'scare', 'amuse', 'break', 'drop'). A set of 18 basic verb glosses and their semantic causative counterparts is used here as a convenient probe to test whether a language tends to treat intransitives as basic and transitives as derived, vice versa, both, or neither. Accordingly, in their overall lexical cast languages fall into four major types: transitivizing, detransitivizing, neutral, and indeterminate. The general typological parameter is (lexical or basic) VALENCE ORIENTATION. In a genealogically based sample of 80 languages, basic valence orientation is shown to interact with alignment but is independent of most other standard typological metrics, and serves as a useful building block for characterizing the lexical and morphosyntactic signatures of languages, language areas, and language families."
"linguistics, semantics, syntax",argument structure,,book,levinrappaporthovav2005,"Levin, Beth and Rappaport Hovav, Malka",,Argument Realization,2005,,Cambridge University Press,Cambridge,278 pp.,,,,,,,,https://www.cambridge.org/core/books/argument-realization/8B1F52537D0D9EF4EB63B6AE30DDB6DE#fndtn-information,,"The relationship between verbs and their arguments is a widely debated topic in linguistics. This comprehensive 2005 survey provides an overview of this important area of research, exploring theories of how a verb's semantics can determine the morphosyntactic realization of its arguments. Assuming a close connection between verb meaning and syntactic structure, it provides a bridge between lexical-semantic and syntactic research, synthesizing the results of work from a range of linguistic subdisciplines and in a variety of theoretical frameworks. The first four chapters survey leading theories about event structure and conceptualization. The fifth and sixth chapters focus on the mapping from lexical semantics to morphosyntax and include a detailed discussion of the thematic hierarchy. The final chapter reviews treatments of multiple argument realization. With useful bibliographic references and clear definitions of relevant terms, this book will be invaluable to students and researchers in syntax and semantics, as well as those in related fields."
linguistics,"anticausative, causation, lability","English, German and Greek",incollection,alexiadouetal2006,"Alexiadou, Artemis and Anagnostopoulou, Elena and Schäfer, Florian","Frascarelli, Mara",The properties of anticausatives crosslinguistically,2006,,De Gruyter Mouton,Berlin/New York,187-212,,,,,,,,,,"In this paper we provide evidence against derivational approaches to the causative/anticausative alternation. On the basis of the behavior of anticausatives in English, German and Greek we put forth an analysis of change of state verbs which builds on the idea that these are decomposed and contain in addition to the root they are derived from a Voice and a Cause component."
"linguistics, linguistic typology",causation,,article,comrie2006,"Comrie, Bernard",,"Transitivity pairs, markedness, and diachronic stability",2006,,,,303–318,,,Linguistics ,44,2,,,https://www.researchgate.net/publication/40852710_Transitivity_pairs_markedness_and_diachronic_stability,,"Utilizing the classification of formal relations in causative-inchoative verb pairs developed by Haspelmath (1993), this article examines two further ramifications. First, the 30 verbs in his list are divided into two groups of fifteen, one where crosslinguistically a causative pairing is most likely and the other where the anticausative pairing is most likely. Individual languages are then tested to see whether their verbs conform to this ordering, with overall very positive results. Second, the diachronic stability of languages with predominance of one or other of the individual types within the classification, in particular of the causative and anticausative types, is examined, with some results suggesting stability at least over millennia. Thus, Classical Arabic and Maltese have very similar profiles, even down to individual lexical concepts (even where the two languages have noncognate lexical items). Uralic languages, despite their close proximity to Indo-European languages with predominance of the anticausative type, still show predominance either of the causative type (Finnish, Udmurt), or of the equipollent type (Hungarian), the latter perhaps reflecting a compromise between the putative predominance of the causative type in Proto-Uralic and contact with Indo-European."
linguistics,"transitivity, valency",,book,kulikovetal2006,,"Kulikov, Leonid and Malchukov, Andrej and Swart, Peter de","Case, Valency and Transitivity",2006,,John Benjamins Publishing Company,Amsterdam/Philadelphia,503 pp.,,,,,,,,,,"The three concepts of case, valency and transitivity belong to the most discussed topics of modern linguistics. On the one hand, they are crucially connected with morphological aspects of the clause, including case marking, person agreement and voice. On the other hand, they are related to several semantic issues such as the meaning of case, semantico-syntactic verbal classes, and the semantic correlates of transitivity. The volume unifies papers written within different theoretical frameworks and representing variegated approaches (Optimality Theory, Government and Binding, various versions of the Functional approach, Cross-linguistic and Typological analyses), containing both numerous new findings in individual languages and valuable observations and generalizations related to case, valency and transitivity."
linguistics,event structure,Karachai-Balkar ,book,lyutikovaetal2006,"Лютикова, Екатерина Анатольевна and Татевосов, Сергей Георгиевич and Иванов, М. Ю. and Пазельская, Анна Германовна and Шлуинский, Андрей Болеславович",,Структура события и семантика глагола в карачаево-балкарском языке,2006,Event structure and semantics of the verb in Karachai-Balkar language,ИМЛИ РАН,Москва,464 с.,,,,,,,,,,
linguistics,lability,English,phdthesis,mcmillion2006,"McMillion, Alan",,"Labile Verbs in English: their Meaning, Behavior and Structure",2006,,,Stockholm,,,,,,,Stockholm University,,https://www.diva-portal.org/smash/record.jsf?pid=diva2%3A200811&dswid=3337,,"English has many verbs that syntactically occur in both transitive and intransitive clausal patterns. A subset of such verbs are called labile verbs, and these have a causative sense when they occur in the transitive pattern and a non-causative or inchoative sense in the intransitive pattern. Moreover, the object of the transitive pattern corresponds to the subject of the intransitive, e.g. she broke the window / the window broke. There are over 800 labile verbs in Present-day English. The central criterion for distinguishing labile verbs from other similarly alternating verbs is the switch in causativity. This study is an investigation of the meanings, patterning and behavior of Present-day English labile verbs. It also investigates the development of these verbs historically. Diachronically, the number of labile verbs in English has steadily increased since the Old English period, unlike any of the sister Germanic languages. Labile verbs developed from both transitive and intransitive verbs. The investigation also attempts to explain the behavior of labile verbs in terms of the notions result- and process-orientation, lexical event structures and compositionality of lexical verbs with clause level constructions."
"linguistics, linguistic typology",voice,,book,tsunodakageyama2006,,"Tsunoda, Tasaku and Kageyama, Taro",Voice and Grammatical Relations: In Honor of Masayoshi Shibatani,2006,,"John Benjamins Publishing Company",Amsterdam/Philadelphia,342 pp.,,,,,,,,,,"This volume presents thirteen original papers dealing with various aspects of two related areas of research of major concern to linguists of all theoretical persuasions: voice and grammatical relations. The papers are written from typological, functional, and cognitive perspectives, and contain a number of general studies as well as studies focusing on specific issues, and offer a wealth of data from a broad range of languages. The volume provides up-to-date discussions of an array of issues of theoretical concern, including the nature of grammatical relations, voice in agent/patient systems, the expression vs. non-expression of participant roles, and personal vs. impersonal passives. The papers in the volume demonstrate that investigations into the nature of voice and grammatical relations can still yield fresh theoretical and typological insights."
"linguistics, linguistic typology",passive,,book,wernerleisio2006,,"Werner, Abraham and Leisiö, Larisa",Passivization and Typology: form and function,2006,,John Benjamins Publishing Company,Amsterdam/Philadelphia,553 pp.,,,,,,,,,,"Is the passive a unified universal phenomenon? The claim derived from this volume is that the passive, if not universal, has become unified according to function. Language as a means of communication needs the passive, or passive-like constructions, and sooner or later develops them based on other voices (impersonal active, middle, reflexive), specific semantic meanings such as adversativity, or tense-aspect categories (stative,perfect, preterit). Certain contributors review the passives in various languages and language groups, including languages rarely discussed. Another group of contributors takes a novel theoretical approach toward passivization within a broad typological perspective. Among the languages discussed are Vedic, Irish, Mandarin Chinese, Thai, Lithuanian, Mordvin, and Nganasan, next to almost all European languages. Various theoretical frameworks such as Optimality Theory, Modern Structuralist Approaches, Role and Reference Grammar, Cognitive Semantics, Distributed Morphology, and Case Grammar have been applied by the different authors."
linguistics,argument structure,,article,bohnemeyer2007,"Bohnemeyer, Jürgen",,Morpholexical Transparency and the argument structure of verbs of cutting and breaking,2007,,,,,,,Cognitive Linguistics,18,2,,,,doi:10.1515/cog.2007.006 ,"Guerssel et al.’s (1985) generalizations regarding the argument structure of verbs of cutting and breaking (C&B, hereafter) are reanalyzed based on the principles of Morpholexical Transparency and Complete Linking. A working hypothesis according to which the C&B domain is universally exhaustively partitioned into argument structure classes of C&B verbs is proposed and tested against a corpus of data from 17 languages. Counterevidence to the hypothesis includes bipolar verbs that are semantically specific both on the state change and its cause and a language that lacks cut verbs, framing severance as state change. The survey suggests that universals of argument structure include the principles of Morpholexical Transparency and Complete Linking, but not specific verb classes."
linguistics,middle,,article,kaufmann2007,"Kaufmann, Ingrid",,Middle voice,2007,,,,1677-1714,,,Lingua,117,,,,, https://doi.org/10.1016/j.lingua.2006.10.001,"The middle differs from other argument changing operations in that it leads to different readings, in particular anticausative, reflexive, causative reflexive, and modal (facilitative). The readings depend on the semantic class of the base and the sortal properties of the highest argument. Middle verb forms that correspond to an active verb form generally display a reduced argument structure. Some readings also involve changes in the event structure. On the basis of data from Fula, I argue that the conceptual motivation of middle marking is the existence of actions that can be semantically modelled as involving an agent and a patient argument although in most cases, only one participant is involved in the event. Middle verb forms share the semantic representation of the corresponding active verb form. In contrast to active verb forms, middle verb forms do not project the agent argument into the argument structure. According to this analysis, the different middle readings are due to different interpretation strategies that can apply if the default initiator/controller of an action verb is not projected into the argument position which represents the actual initiator/controller of the event. Finally, the readings of the middle in Fula are compared with readings that can be observed in other languages and a set of parameters that accounts for the distribution is proposed."
linguistics,transitivity,,book,næss2007,"Næss, Åshild",,Prototypical Transitivity,2007,,John Benjamins Publishing Company,Amsterdam,240 pp.,,,,,,,,,https://doi.org/10.1075/tsl.72,"This book presents a functional analysis of a notion which has gained considerable importance in cognitive and functional linguistics over the last couple of decades, namely 'prototypical transitivity'. It discusses what prototypical transitivity is, why it should exist, and how it should be defined, as well as how this definition can be employed in the analysis of a number of phenomena of language, such as case-marking, experiencer constructions, and so-called ambitransitives. Also discussed is how a prototype analysis relates to other approaches to transitivity, such as that based on markedness. The basic claim is that transitivity is iconic: a construction with two distinct, independent arguments is prototypically used to refer to an event with two distinct, independent participants. From this principle, a unified account of the properties typically associated with transitivity can be derived, and an explanation for why these properties tend to correlate across languages can be given."
linguistics,causation,Agul,incollection,danieletal2008," Даниэль, Михаил А. and Майсак, Тимур А. and Мерданова, С. Р.","Плунгян, Владимир Александрович and Татевосов, Сергей Георгиевич",Каузатив в агульском языке: способы выражения и семантические контрасты,2008,,Изд-во Языки славянских культур,Москва,19-46,Исследования по глагольной деривации: Сборник статей,Studies on verb derivation: Collection of articles,,,,,,,,
"linguistics, linguistic typology, Afroasiatic","morphology, syntax, grammatical relations",Afroasiatic,book,frajzyngiershay2008,,"Frajzyngier, Zygmunt and Shay, Erin",Interaction of Morphology and Syntax: Case studies in Afroasiatic,2008,,John Benjamins Publishing Company,Amsterdam/Philadelphia,234 pp.,,,,,,,,https://benjamins.com/catalog/tsl.75,,"The present volume deals with hitherto unexplored issues on the interaction of morphology and syntax. These selected and invited papers mainly concern Cushitic and Chadic languages, the least-described members of the Afroasiatic family. Three papers in the volume explore one or more typological characteristics across an entire language family or branch, while others focus on one or two languages within a family and the implications of their structures for the family, the phylum, or linguistic typology as a whole. The diversity of topics addressed within the present volume reflects the great diversity of language structures and functions within the Afroasiatic phylum."
linguistics,"reciprocal, reflexive",,book,koeniggast2008,,"König, Ekkehard and Gast, Volker",Reciprocals and Reflexives: Theoretical and Typological Explorations,2008,,De Gruyter Mouton,Berlin/New York,652 pp.,,,,,,,,,,"This collection of original papers is a representative survey of recent theoretical and cross-linguistic work on reciprocity and reflexivity. Its most remarkable feature is its combination of formal approaches, case studies on individual languages and broad typological surveys in one volume, showing that the interaction of formal approaches to grammar and typology may lead to new insights and results for both fields. Among the major issues addressed in this volume are the following: How can our current knowledge about the space and limits of variation in the relevant domain be captured in a structural typology of reciprocity? What light can such a typology shed on the facts of particular languages or groups of languages (e.g. Austronesian)? How can recent descriptive and typological insights be incorporated into a revised and more adequate version of the Binding Theory? How do verbal semantics, argument structure and reciprocal markers interact? How can we explain the pervasive patterns of ambiguity observable in these two domains, especially the use of the same forms both as reflexive and reciprocal markers? What are the major sources in the historical development of reciprocal markers? This combination of large-scale typological surveys with in-depth studies of particular languages provides new answers to old questions and raises important new questions for future research."
linguistics,verb derivation,,book,plungiantatevosov2008,,"Плунгян, Владимир Александрович and Татевосов, Сергей Георгиевич",Исследования по глагольной деривации: Сборник статей,2008,Studies on verb derivation: Collection of articles,Изд-во Языки славянских культур,Москва,384 с.,,,,,,,,,,"В сборнике представлено пятнадцать статей, посвященных разнообразным семантическим и синтаксическим аспектам отглагольной деривации. На материале языков различной генетической и ареальной принадлежности авторы исследуют структуру и значение нескольких типов отглагольных образований, в частности, актантных и аспектуальных дериватов, а также номинализаций. Сборник предназначен для широкого круга читателей, интересующихся лингвистической типологией, теоретическим синтаксисом и грамматической семантикой."
linguistics,argument structure,,book,pylkkänen2008,"Pylkkänen, Liina",,Introducing Arguments,2008,,The MIT Press,Cambridge (Mass)/London,,,,,,,,,,https://doi.org/10.7551/mitpress/9780262162548.001.0001,"This concise work offers a compositional theory of verbal argument structure in natural languages that focuses on how arguments which are not “core” arguments of the verb (arguments that are not introduced by verbal roots themselves) are introduced into argument structures. It shows that the type of argument structure variation which allows additional noncore arguments is a pervasive property of human language and that most languages have verbs which exhibit this behavior. It would be natural to hypothesize that the grammatical elements which allow for this variation are the same in different languages, but the author, citing the differences between the inventories of verbs that allow additional arguments in English and Venda, shows the difficulties in this assumption. Either the noncore arguments are introduced by different elements with different distributions, she argues, or the introducing elements are the same and some other factor is responsible for the distributional difference. Distinguishing between these two types of explanation and articulating the properties of argument-introducing elements is the essence of the author’s theory. Investigating the grammatical elements which allow the addition of noncore arguments, she argues that the introduction of additional arguments is largely carried by seven functional heads. Following Chomsky, the author claims that these belong to a universal inventory of functional elements from which a particular language must make its selection. Cross-linguistic variation, she argues, has two sources: Selection; and the way a language packages the selected elements into syntactic heads."
"linguistics, semantics, syntax",event structure,,book,ramchand2008,"Ramchand, Gillian Catriona",,Verb Meaning and the Lexicon: A First Phase Syntax,2008,,Cambridge University Press,Cambridge,217 pp.,,,,,,,,,,"The relationship between the meaning of words and the structure of sentences is an important area of research in linguistics. Studying the connections between lexical conceptual meaning and event structural relations, this book arrives at a modular classification of verb types within English and across languages. Ramchand argues that lexical encyclopedic content and event structural aspects of meaning need to be systematically distinguished, and that thematic and aspectual relations belong to the latter domain of meaning. The book proposes a syntactic decompositional view of core verbal meaning, and sets out to account for the variability and systematicity of argument structure realisation across verb types. It also proposes an interesting view of lexical insertion."
"linguistics, semantics, syntax",event structure,,incollection,rappaporthovav2008,"Rappaport Hovav, Malka","Rothstein, Susan",Lexicalized Meaning and the Internal Temporal Structure of Events,2008,,John Benjamins Publishing Company,Amsterdam/Philadelphia,13-42,Theoretical and Crosslinguistic Approaches to the Semantics of Aspect,,,,,,,,,"This paper addresses the question of whether the four-way Vendler classification is appropriate for verbs or VPs. It suggests that the Vendler classification is not appropriate as a classification of verbs, and offers a different classification for the elements of lexicalized meaning which determine the aspectual potential of verbs. It highlights the importance of a class of verbs with a lexically encoded scale, illustrating that a large class of scalar verbs cannot be classified once and for all either as activities, accomplishments or achievements, though the lexically encoded scale accounts for most of the aspectual behavior of these verbs. The aspectual and syntactic significance of a lexicalized scale is explored. The class of verbs lexicalizing a scale is shown not to be the same as the class of verbs selecting an incremental theme. This is justified both on semantic grounds and on syntactic grounds. There appears to be more justification for recognizing the four-way Vendler classification at the VP level, though it is demonstrated that accomplishments do not have a uniform internal temporal structure, predominantly because of the variety of sources of incremental structure."
"linguistics, distributed morphology","causation, causative-inchoative",,book,schafer2008,"Schäfer, Florian",,The Syntax of (Anti-)Causatives: External arguments in change-of-state contexts,2008,,John Benjamins Publishing Company,Amsterdam/Philadelphia,324 pp.,,,,,,,,,,"This book develops an approach to the causative alternation that assumes syntactic event decomposition and a configurational theta theory. It is couched within the framework of the Minimalist Program and, especially, within Distributed Morphology. Central to the work is the syntax and semantics of canonical external arguments of causative verbs as well as of oblique causers and causative PPs in the context of anticausative verbs in different languages such as Germanic, Romance, Balkan, and Caucasian languages. The book also develops a new account of the origin and nature of the morphological marking which is often found on anticausatives across languages. The main claim is that this morphology is a reflex of a syntactic way to prohibit the assignment of the external theta role. Moreover, the book develops an account about the origin of the implicit agent in generic middles which often bear the same morphology as marked anticausatives."
linguistics,"voice, grammatical relations",Austronesian,book,Austinmusgrave2008,,"Austin, Peter K. and Musgrave, Simon",Voice and grammatical relations in Austronesian languages,2008,,CSLI Publications,Stanford,,,,,,,,,,,
linguistics,causation,Japanese ,incollection,harley2008,"Harley, Heidi","Miyagawa, Shigeru and Saito, Mamoru",On the causative construction,2008,,Oxford University Press,Oxford,20-53,Oxford Handbook of Japanese Linguistics,,,,,,,,https://doi.org/10.1093/oxfordhb/9780195307344.013.0002,
"linguistics, linguistic typology","causation, non-canonical",,article,kittila2009,"Kittilä, Seppo",,Causative morphemes as non-valency increasing devices,2009,,,,67-94,,,Folia Linguistica,43,1,,,,https://doi.org/10.1515/FLIN.2009.002,"Causativization is typically understood as a morphologically signaled process which introduces an agent to the valency of verbs, thus yielding constructions with n+1 arguments. This clearly constitutes the core of causatives, and many languages across the globe have means of expressing this function. In addition, causative morphemes may attach to verbs without affecting the valency of verbs and/or the number of arguments in clauses in any way. These are examined in this paper. Three types of non-prototypical uses of causative morphemes will be distinguished, based on whether causativization has consequences for the number of participants in the denoted event, the degree of agency associated with the instigator, or the transitivity of the denoted event in general. These three types are labeled COVERT CAUSATIVIZATION, AGENTIVIZATION and TRANSITIVIZATION. In addition to providing a systematic overview of non-prototypical uses of causative morphemes, the rationale behind the attested types and their relation to the causative prototype will also be discussed. The goal of the present study is to show that causativization involves more than the mere introduction of an agent. In so doing, it aims to broaden our perspective on causativization."
"linguistics, linguistic typology",anticausative,,article,koontzgarboden2009,"Koontz-Garboden, Andrew",,Anticausativization,2009,,,,77-138,,,Natural Language & Linguistic Theory,27,1,,,https://www.jstor.org/stable/40270311,,"This paper provides a comprehensive review and analysis of the facts of anticausativization, the phenomenon whereby an inchoative verb is morphologically derived from its causative counterpart (e.g., Spanish romper 'break (trans)' versus romperse 'break (intrans)'). It treats the phenomenon as reflexivization (Chierchia 2004), providing a number of new arguments for this kind of treatment, and showing how it, as opposed to alternatives in the literature, accounts for the wide range of data reviewed. In addition, the facts laid out show that inchoatives derived from causatives retain the CAUSE operator present in the lexical semantic representation of the causative verb from which they are derived, contrary to the widely held view of anticausativization as a process that deletes a CAUSE operator. In this way, it is shown that anticausativization does not provide an argument against the Monotonicity Hypothesis, the idea that word formation operations do not delete operators from lexical semantic representations."
"linguistics, linguistic typology",causation,Kalmyk,incollection,say2009,"Сай, Сергей Сергеевич","Сай, С.С. and Баранова, В.В. and Сердобольская, Н.В.",Аргументная структура калмыцких каузативных конструкций,2009,Argument structure of Kalmyk causative constructions,Наука,СПб,387-464,"Исследования по грамматике калмыцкого языка [Acta Linguistica Petropolitana. Труды Института лингвистических исследований РАН, том V, часть 2]",,,,,,,,,"В работе изучается валентностная структура калмыцких клауз, возглавляемых глаголами, содержащими морфологический показатель каузатива. Показано, что наряду с каноническими каузативными конструкциями, в которых число валентностей производного каузативного глагола превышает число валентностей исходного некаузативного глагола на один, при этом новый участник-каузатор вводится в синтаксическую позицию подлежащего, в калмыцком языке существует относительно большое количество неканонических конструкций, в которых наблюдаются те или иные отклонения от канонической схемы. Общим свойством всех конструкций с морфологически каузативным глаголом является то, что в них позицию подлежащего занимает участник, отличающийся в ролевом отношении от подлежащего при соответствующем некаузативном глаголе, при этом этот участник может занимать эту синтаксически приоритетную позицию не только из-за своих ролевых признаков, но из-за того, что говорящий помещает его в центр перспективы (в смысле Филлмора). Следствием дискурсивных свойств каузативных конструкций являются некоторые стратегии полипредикации и более широкие свойства использования каузативных конструкций в связном дискурсе, т. к. каузативация может быть одним из средств, используемых говорящими для соблюдения тенденции к сохранению единой перспективы в цепочках соположенных клауз."
linguistics,causation,,article,schafer2009,"Schäfer, Florian",,The Causative Alternation,2009,,,,641-681,,,Language and Linguistic Compass,3,2,,,https://compass.onlinelibrary.wiley.com/doi/10.1111/j.1749-818X.2009.00127.x,,"This article discusses the transitivity alternation between lexical causative verbs and their anticausative (inchoative) counterparts. It provides an overview of the semantic, syntactic and morphological properties of verbs undergoing the causative alternation, thereby identifying their cross-linguistically stable core as well as the areas of variation among languages. The main theoretical lines of analysis proposed in the literature are introduced by an exemplary discussion of accounts within lexical and syntactic frameworks of word formation. The article serves as an introduction to the research on the causative alternation as it presents important results achieved in the earlier literature, but also touches upon more recent findings and their theoretical interpretation. Finally, it addresses the aspects that still await a conclusive analysis."
"linguistics, semantics",transitivity,,book,brandtgarcia2010,,"Brandt, Patrick and García, Marco García","Transitivity: Form, Meaning, Acquisition, and Processing",2010,,John Benjamins Publishing Company,Amsterdam/Philadelphia,308 pp.,,,,,,,,,,
"linguistics, linguistic typology",argument structure,,book,duguineetal2010,,"Duguine, Maia and Huidobro, Susana and Madariaga, Nerea",Argument Structure and Syntactic Relations: a cross-linguistic perspective ,2010,,John Benjamins Publishing Company,Amsterdam/Philadelphia,348 pp.,,,,,,,,,,"The topic of this collection is argument structure. The fourteen chapters in this book are divided into four parts: Semantic and Syntactic Properties of Event Structure; A Cartographic View on Argument Structure; Syntactic Heads Involved in Argument Structure; and Argument Structure in Language Acquisition. Rigorous theoretical analyses are combined with empirical work on specific aspects of argument structure. The book brings together authors working in different linguistic fields (semantics, syntax, and language acquisition), who explore new findings as well as more established data, but then from new theoretical perspectives. The contributions propose cartographic views of argument structure, as opposed to minimalistic proposals of a binary template model for argument structure, in order to optimally account for various syntactic and semantic facts, as well as data derived from wider cross-linguistic perspectives."
