LANGUAGE,CATEGORY,BIBTEXKEY,AUTHOR,EDITOR,TITLE,YEAR,TITLE_TRANSLATION,PUBLISHER,ADDRESS,PAGES,BOOKTITLE,BOOKTITLE_TRANSLATION,JOURNAL,VOLUME,NUMBER,SCHOOL,NOTE,URL,DOI,ABSTRACT,Aramaic
Soqotri,article,bulakhetal2020,"Bulakh, Maria and Kogan, L. and Issa, A. and Gumaan, I. and Mohammed, M.",,The causative stem in Soqotri: The analysis,2020,,,,260-285,,,Brill’s Journal of Afroasiatic Languages and Linguistics,12,2,,,,https://doi.org/10.1163/18776930-01202003,"Soqotri is an understudied Semitic language belonging to the Modern South Arabian branch and spoken by the approximately 100,000 inhabitants of the island of Soqotra. The present contribution offers an exhaustive description of the so-called causative stem in Soqotri (a cognate of the Arabic stem IV) based on the analysis of the data in the two recently published volumes of the Soqotri oral literature as well as the fieldwork notes of the authors.",
MWA,incollection,fassberg2021,"Fassberg, Steven E.","Khan, Geoffrey and Noorlander, Paul M.",On the Afel Stem in Western Neo-Aramaic,2021,,Open Book Publishers,Cambridge,287-300,Studies in the Grammar and Lexicon of Neo-Aramaic,,,,,,,https://books.openbookpublishers.com/10.11647/obp.0209/ch8.xhtml, https://doi.org/10.11647/OBP.0209.08,,yes
Soqotri,article,bulakhetal2021,"Bulakh, Maria and Kogan, L. and Issa, A. and Gumaan, I. and Mohammed, M.",,The Causative Stem in Soqotri: The data,2021,,,,239-287,,,Brill’s Journal of Afroasiatic Languages and Linguistics,13,2,,,,10.1163/18776930-01302002,,
Pre-modern Aramaic,article,kalininloesov2022,"Kalinin, M. and Loesov, S.",,History of the Passive in Pre-modern Aramaic: An Outline,2022,,,,471-516,,,Journal of Semitic Studies,67,2,,,,,"In Proto-Aramaic, the passive of transitive verbs belonging to all three principal stems—G, D and C—was formed internally. Some verbs of the G- and D-stems also possessed detransitive derivatives. Transitive verbs of the G-, D- and C-stems lost their internal passives early on, and the passives of G- and D-verbs were encoded by their respective t-stems. Against this general Aramaic picture, in Imperial Aramaic the passive forms of the G-stem were in complementary distribution: the passive Past was encoded by the internal passive of the Suffix Conjugation (Gp SC), while the passive non-Past was rendered by the Gt participle and the Gt Prefix Conjugation. Gp SC stopped being used with Imperial Aramaic once it was replaced, as a written language, by vernacular-based literary varieties. The Ct-stem, non-existent in Imperial Aramaic, must have first emerged among spoken varieties of Aramaic in the first half of the first millennium BCE, and only within I-w and II-w/y roots. Within the Imperial Aramaic corpus, both the rare Gt SC passive forms and Ct-stem forms reflect the influence of spoken Aramaic varieties in the diglossic situation. In Syriac, the Ct-stem of sound roots is unattested during its golden age. The Ct-forms of sound roots appeared in original Syriac texts only after the Arab conquest, and these also come from spoken Aramaic varieties.",yes
,article,hewett2023,"Hewett, Matthew",,Verbal Templates Can Influence L-Selection In Semitic,2023,,,,1-26,,,Linguistic Inquiry,,,,,,10.1162/ling_a_00516,,
Turoyo,phdthesis,kuzin2024,"Kuzin, Nikita",,Voice and valency change in the Neo-Aramaic language Ṭuroyo,2024,,,Berlin,,,,,,,Freie Universität,,,,,yes
Turoyo ,incollection,kuzin2024labile,"Kuzin, Nikita","Olivieri, Simona and Talay, Shabo",Labile verbs in Ṭuroyo: Marginal phenomenon or structured innovation,2024,,Harrassowitz Verlag,Wiesbaden,115-132,Current Research in Semitic Studies. Proceedings of the Semitic Studies Section at the 34th DOT at Freie Universität Berlin,,,,,,,,,,yes
Semitic,article,mellison2024,"Mellison, John",,A Morphological Reconstruction of T-Stems in Proto-Semitic ,2024,,,,,,,Journal of Semitic Studies,69,,,,,10.1093/jss/fgae016,"A central morphological feature of Semitic languages is the so-called ‘t-stems’ associated with the G, D and C stems. These forms attach a /t/ to the verbal root and often convey reflexive, reciprocal, or mediopassive action. The Semitic languages attest a puzzling mix of prefixed and infixed t-stem forms, and thus it has been challenging to reconstruct the original Proto-Semitic (PS) structure. The general consensus is that PS prefixed the /t/ to the root and the daughter languages underwent a series of complex phonological changes. This study argues that the /t/ was infixed in the G-stem and prefixed in the D-stem in PS. This reconstruction easily accounts for the variety of forms attested in the Semitic languages and only requires paradigm levelling in one stem to account for the attested variety. I argue this by raising problems with the consensus view and presenting inscriptional evidence of systemwide levelling in Northwest Semitic.",
Soqotri,book,bulakh2024,"Bulakh, Maria",,The T-Stems in Soqotri: A Contribution to Semitic Detransitivising Derivation,2024,,Brill,Leiden / Boston,,,,,,,,,,,,
"NENA, Modern Hebrew",incollection,napiorkowska2025,"Napiorkowska, Lidia","Hornkohl, Aaron D. and Vidro, Nadia and Watson, Janet C. E. and Coghill, Eleanor and Connolly, Magdalen M. and Outhwaite, Benjamin M.",Relating Morphological and Sociolinguistic Variety in Modern Hebrew to Neo-Aramaic,2025,,,,823-854,"Interconnected Traditions: Semitic Languages, Literatures, Cultures—A Festschrift for Geoffrey Khan. Volume 2: The Medieval World, Judaeo-Arabic, and Neo-Aramaic",,,,,,,,https://doi.org/10.11647/obp.0464.28,"The article compares spoken Modern Hebrew and North-Eastern Neo-Aramaic dialects, highlighting parallels in verbal morphology and sociolinguistic diversity. Both languages exhibit variation influenced by geographic, social, and pragmatic factors. Neo-Aramaic, shaped by contact with regional languages, displays dialectal distinctions between rural and urban communities, often aligning with religious affiliation. Modern Hebrew, revived as a vernacular in the nineteenth century, shows variation driven by register, fluency, and context. The study analyses specific morphological shifts, such as the merging of verbal classes and the loss of gutturals, observing typological similarities in their evolution as modern spoken Semitic languages. These developments reflect shared trends in phonological simplification and morphosyntactic reorganisation, while preserving elements of their Semitic roots.",yes
Arabic,book,tsukanova2025,"Tsukanova, Vera",,The evolution of the derivational verbal system in Arabic,2025,,Harrassowitz Verlag,Wiesbaden,303 pp.,,,,,,,,https://www.harrassowitz-verlag.de/title_8444.ahtml,,"The evolution of the derivational verbal system in Arabic by Vera Tsukanova explores the development of derived verb stems in Arabic over different periods, from pre-Islamic North Arabic to modern dialects. This comprehensive work combines diachronic and comparative methods, contributing to both linguistic history and dialectology of Arabic. Tsukanova defines the typological parameters necessary to describe Arabic verbal derivation and, based on these, systematically examines the morphology, semantics, and productivity of verb stems, analyzing inherited and innovative forms, as well as the impact of language and dialectal contact. The two main chapters address the historical development of verb stems in pre-classical to classical and Modern Standard Arabic and their evolution in contemporary Arabic dialects respectively. The four dialect groups, Levantine, Egyptian-Sudanese, Tunisian and Ḥassāniya, are selected for the in-depth semantic analysis, whereas other dialects are briefly described, focussing on their formal features. The main findings of the book are summarized in numerous tables and diagrams. Tsukanova uses statistical analysis of verb stems across various dictionaries in order to draw conclusions about changes in productivity. The work is recommended for specialists in Semitic linguistics, Arabic dialectology and linguistic typology and can be used in university courses on the theoretical and historical grammar of Arabic.",
"Akkadian, Modern South Arabian",article,inglesegasparini2026,"Inglese, Guglielmo and Gasparini, Fabio",,Basic valency in Akkadian and Modern South Arabian languages: A comparative outlook,2026,,,,240-286,,,Brill’s Journal of Afroasiatic Languages and Linguistics,18,1,,,,https://doi.org/10.1163/18776930-01801001,,
